year,to,from,points
2009,Israel,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,19
2009,Norway,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,152
2009,Portugal,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,31
2009,Spain,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,11
2009,Sweden,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,17
2009,Turkey,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,101
2009,United Kingdom,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,73
2010,Belgium,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,74
2010,Cyprus,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,16
2010,Denmark,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,52
2010,France,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,53
2010,Germany,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,118
2010,Greece,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,74
2010,Ireland,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,22
2010,Israel,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,31
2010,Norway,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,14
2010,Portugal,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,29
2010,Spain,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,18
2010,Turkey,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,69
2010,United Kingdom,BelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,4
2011,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,29
2011,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,72
2011,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,34
2011,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,48
2011,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,68
2011,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,34
2011,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,83
2011,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,75
2011,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,28
2011,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,94
2011,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,10
2011,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,37
2012,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,37
2012,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,14
2012,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,10
2012,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,68
2012,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,20
2012,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,32
2012,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,29
2012,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,6
2012,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,75
2012,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,176
2012,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,44
2012,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,5
2013,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,45
2013,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,140
2013,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,10
2013,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,1
2013,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,15
2013,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,65
2013,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,5
2013,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,62
2013,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,70
2013,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,90
2013,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,2
2013,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,36
2013,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,14
2014,Austria,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,179
2014,Denmark,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,47
2014,Finland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,46
2014,France,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,2
2014,Germany,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,7
2014,Greece,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,7
2014,Italy,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,3
2014,Netherlands,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,135
2014,Norway,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,52
2014,Spain,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,37
2014,Sweden,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,105
2014,Switzerland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,28
2014,United Kingdom,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,24
2015,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
2015,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,111
2015,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,10
2015,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
2015,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
2015,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,8
2015,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,53
2015,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,134
2015,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,52
2015,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,10
2015,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,169
2015,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,1
2016,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,82
2016,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,82
2016,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,37
2016,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,135
2016,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,10
2016,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,65
2016,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,72
2016,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,91
2016,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,36
2016,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,110
2016,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwaySpainSwedenSwitzerlandUnited Kingdom,13
2017,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,44
2017,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,175
2017,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,37
2017,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,27
2017,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,47
2017,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,6
2017,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,26
2017,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,14
2017,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,145
2017,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,68
2017,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,75
2017,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,334
2017,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,5
2017,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,178
2017,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,31
2018,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,169
2018,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,165
2018,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,84
2018,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,19
2018,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,69
2018,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,188
2018,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,76
2018,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,220
2018,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,116
2018,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,54
2018,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,50
2018,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,29
2018,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,44
2018,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,113
2018,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,31
2019,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,41
2019,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,67
2019,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,59
2019,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,16
2019,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,27
2019,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,17
2019,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,225
2019,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,239
2019,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,179
2019,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,49
2019,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,178
2019,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,186
2019,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,6
2021,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,40
2021,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,42
2021,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,128
2021,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,252
2021,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,2
2021,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,52
2021,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,42
2021,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,179
2021,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,4
2021,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,39
2021,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,67
2021,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,2
2021,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,60
2021,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,195
2021,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,0
2022,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,35
2022,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,8
2022,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,2
2022,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,4
